335,11,458
335,10,407
345,7,1
346,4,124
346,17,121
346,18,113
346,5,113
350,17,1218
350,4,978
350,18,955
350,16,873
351,15,839
351,7,718
351,6,705
351,5,64
352,9,758
352,15,755
352,13,745
352,14,641
353,3,1
354,17,1386
354,5,1374
354,16,1008
354,18,604
356,2,1491
356,23,1239
356,21,542
356,19,384
358,16,1027
358,11,845
358,6,779
358,14,778
360,15,190
360,16,94
360,6,88
360,7,60
361,10,2
361,8,1
363,9,1
365,6,1
367,16,1108
367,7,798
367,15,693
367,8,627
371,18,896
371,17,727
371,5,641
371,16,523
372,13,669
372,14,602
372,7,377
372,9,368
373,12,1
377,7,1032
377,6,812
377,16,803
377,15,739
386,16,1078
386,17,728
386,15,556
386,7,430
389,16,1229
389,6,844
389,15,2
401,11,810
401,13,671
401,8,645
401,9,554
405,7,776
405,6,771
405,8,668
405,15,403
409,17,1360
409,15,826
409,6,476
409,16,421
412,17,1631
412,16,956
412,8,636
412,4,531
415,5,1481
415,17,808
415,16,786
415,6,662
419,15,546
419,14,429
419,11,388
419,9,292
424,12,1105
424,13,804
424,15,785
424,11,757
425,7,756
425,14,719
425,15,717
425,16,608
429,17,1150
429,4,928
429,5,854
429,15,814
433,16,744
433,5,637
433,6,344
433,4,24
434,17,1697
434,18,914
434,5,900
434,16,670
441,16,981
441,17,623
441,6,480
441,5,76
443,6,767
443,16,727
443,4,521
443,15,486
446,6,211
446,13,155
446,7,151
446,8,145
454,7,891
454,15,695
454,9,633
454,14,561
455,7,636
455,6,605
455,14,566
455,15,478
464,3,1
465,4,1
466,5,1147
466,17,1131
466,16,975
466,6,783
469,2,1
471,23,1615
471,20,1278
471,1,1138
471,24,1066
474,19,1775
474,23,854
474,1,844
474,3,728
475,17,1756
475,5,1155
475,16,982
475,4,693
477,3,1170
477,2,438
477,20,70
477,19,3
479,3,1006
479,4,836
479,18,595
479,2,520
481,6,2
482,5,889
482,4,462
482,18,202
482,3,5
483,5,774
483,16,733
483,6,653
483,15,65
484,20,727
484,3,513
484,2,367
484,23,324
485,16,1158
485,6,817
485,17,515
485,5,8
487,2,1403
487,4,597
487,3,448
487,18,281
488,7,559
488,15,468
488,6,436
488,8,417
490,5,1029
490,6,485
490,8,204
490,16,94
492,5,1023
492,16,517
492,17,499
492,18,427
493,14,702
493,15,527
493,8,521
493,13,520
494,7,824
494,11,810
494,9,675
494,14,522
495,17,1278
495,18,788
495,6,562
495,5,396
496,13,837
496,9,515
496,8,500
496,11,266
497,16,496
497,6,484
497,5,481
497,18,273
500,17,1276
500,5,730
500,6,332
500,7,95
501,7,722
501,15,356
501,6,280
501,8,279
504,15,493
504,8,477
504,14,414
504,13,293
507,4,688
507,8,480
507,6,469
507,15,274
509,7,768
509,16,406
509,6,406
509,15,390
510,8,425
510,9,337
510,14,292
510,7,134
512,9,382
512,14,147
512,13,94
512,7,53
513,7,600
513,14,370
513,8,316
513,6,253
514,14,515
514,7,427
514,8,421
514,15,269
554,14,1
579,12,950
579,11,840
579,9,696
579,13,659
580,15,1
587,16,1050
587,4,942
587,17,894
587,6,655
595,12,1104
595,11,798
595,14,729
595,9,681
600,17,1882
600,16,658
600,6,254
600,5,66
602,13,1
674,14,632
674,13,592
674,9,462
674,8,371
675,12,930
675,13,601
675,8,179
675,9,92
677,12,877
677,13,528
677,9,426
677,8,5
678,12,625
678,9,379
678,13,310
678,8,167
679,13,445
679,8,410
679,9,318
679,12,278
680,12,532
680,13,258
680,8,25
680,9,8
681,13,577
681,12,325
681,9,263
681,8,142
683,12,936
683,14,459
683,8,396
683,9,347
685,12,102
685,13,92
685,14,61
685,9,55
689,9,269
689,13,243
689,12,38
689,14,6
690,12,878
690,13,458
690,14,256
690,8,189
692,9,406
692,8,399
692,12,111
692,13,77
703,7,869
703,6,617
703,8,538
703,15,422
704,8,51
704,15,32
704,7,5
704,14,3
705,8,764
705,14,560
705,13,555
705,7,268
706,14,845
706,13,839
706,15,727
706,8,647
711,8,721
711,14,665
711,15,484
711,7,184
713,8,596
713,15,454
713,14,302
713,7,176
715,14,273
715,15,220
715,8,172
715,16,103
716,7,953
716,15,565
716,14,560
716,8,465
717,13,741
717,14,708
717,15,586
717,8,558
718,7,995
718,8,701
718,14,699
718,15,528
719,13,355
719,14,287
719,8,272
719,15,96
720,7,690
720,8,658
720,15,562
720,14,516
721,14,715
721,6,673
721,8,566
721,7,527
722,14,699
722,15,624
722,6,602
722,7,552
723,13,498
723,8,446
723,14,445
723,7,256
727,13,430
727,8,419
727,9,380
727,15,376
734,13,701
734,15,645
734,9,610
734,8,604
737,13,702
737,15,564
737,8,553
737,7,490
740,14,822
740,15,759
740,7,750
740,13,666
743,13,1
750,6,851
750,14,730
750,15,691
750,7,380
761,14,587
761,8,510
761,9,402
761,15,286
765,13,723
765,14,600
765,9,395
765,8,215
767,7,594
767,15,539
767,6,486
767,8,470
768,16,775
768,6,391
768,15,166
768,17,106
770,16,578
770,6,35
770,15,1
772,16,375
772,6,260
772,7,188
772,15,54
779,16,187
779,6,31
779,15,1
789,16,413
789,15,323
789,6,283
789,17,173
793,16,874
793,6,591
793,15,472
793,7,211
795,16,551
795,7,524
795,6,364
795,15,354
797,7,768
797,6,706
797,8,675
797,14,558
798,6,558
798,7,468
798,8,112
798,15,61
